State,2017_SAT_Parti%,2017_SAT_EBRW,2017_SAT_Math,2017_SAT_Total,2018_SAT_Parti%,2018_SAT_EBRW,2018_SAT_Math,2018_SAT_Total
North Dakota,2.0,635,621,1256,2.0,640,643,1283
Mississippi,2.0,634,607,1242,3.0,630,606,1236
Iowa,2.0,641,635,1275,3.0,634,631,1265
Missouri,3.0,640,631,1271,4.0,633,629,1262
Utah,3.0,624,614,1238,4.0,480,530,1010
South Dakota,3.0,612,603,1216,3.0,622,618,1240
Nebraska,3.0,629,625,1253,3.0,629,623,1252
Wisconsin,3.0,642,649,1291,3.0,641,653,1294
Minnesota,3.0,644,651,1295,4.0,643,655,1298
Wyoming,3.0,626,604,1230,3.0,633,625,1257
Arkansas,3.0,614,594,1208,5.0,592,576,1169
Kansas,4.0,632,628,1260,4.0,633,631,1265
Kentucky,4.0,631,616,1247,4.0,630,618,1248
Louisiana,4.0,611,586,1198,4.0,615,595,1210
Alabama,5.0,593,572,1165,6.0,595,571,1166
Tennessee,5.0,623,604,1228,6.0,624,607,1231
Oklahoma,7.0,530,517,1047,8.0,541,521,1062
Illinois,9.0,559,556,1115,99.0,513,506,1019
Montana,10.0,605,591,1196,10.0,606,592,1198
Colorado,11.0,606,595,1201,100.0,519,506,1025
New Mexico,11.0,577,561,1138,16.0,552,540,1093
Ohio,12.0,578,570,1149,18.0,552,547,1099
West Virginia,14.0,558,528,1086,28.0,513,486,999
Nevada,26.0,563,553,1116,23.0,574,566,1140
Arizona,30.0,563,553,1116,29.0,577,572,1149
Alaska,38.0,547,533,1080,43.0,562,544,1106
Oregon,43.0,560,548,1108,48.0,564,553,1117
North Carolina,49.0,546,535,1081,52.0,554,543,1098
South Carolina,50.0,543,521,1064,55.0,547,523,1070
California,53.0,531,524,1055,60.0,540,536,1076
Hawaii,55.0,544,541,1085,56.0,480,530,1010
Vermont,60.0,562,551,1114,64.0,565,554,1120
Georgia,61.0,535,515,1050,70.0,542,522,1064
Texas,62.0,513,507,1020,66.0,520,512,1032
Indiana,63.0,542,532,1074,63.0,542,532,1074
Washington,64.0,541,534,1075,69.0,543,538,1081
Virginia,65.0,561,541,1102,68.0,567,550,1117
Pennsylvania,65.0,540,531,1071,70.0,547,539,1086
New York,67.0,528,523,1052,79.0,534,534,1068
Maryland,69.0,536,52,1060,76.0,545,535,1080
New Jersey,70.0,530,526,1056,82.0,547,547,1094
Rhode Island,71.0,539,524,1062,97.0,513,505,1018
Massachusetts,76.0,555,551,1107,80.0,562,563,1125
Florida,83.0,520,497,1017,56.0,550,549,1099
Idaho,93.0,513,493,1005,100.0,508,493,1001
Maine,95.0,513,499,1012,99.0,512,501,1013
New Hampshire,96.0,532,520,1052,96.0,535,528,1063
Michigan,100.0,509,495,1005,100.0,511,499,1011
District of Columbia,100.0,482,468,950,92.0,497,480,977
Delaware,100.0,503,492,996,100.0,505,492,998
Connecticut,100.0,530,512,1041,100.0,535,519,1053
